Date ,ID,Level,Spread,Leak Status ,Address,SMS No.,DMA,Lat,Lon,A
08/04/2022,P1721897,9,3,0,"23 PARK VISTA, LONDON, SE10 9LZ",8.82E+14,DMA - ZRIVSE04,51.48172009,-0.001618971,6
09/04/2022,P1721897,9,3,0,"23 PARK VISTA, LONDON, SE10 9LZ",8.82E+14,DMA - ZRIVSE04,51.48172009,-0.001618971,6
10/04/2022,P1721897,8,3,0,"23 PARK VISTA, LONDON, SE10 9LZ",8.82E+14,DMA - ZRIVSE04,51.48172009,-0.001618971,5
01/04/2022,P10116003,38,5,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,33
02/04/2022,P10116003,24,4,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,20
03/04/2022,P10116003,24,4,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,20
04/04/2022,P10116003,24,3,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,21
05/04/2022,P10116003,32,5,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,27
06/04/2022,P10116003,19,4,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,15
07/04/2022,P10116003,30,4,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,26
08/04/2022,P10116003,24,4,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,20
09/04/2022,P10116003,25,4,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,21
10/04/2022,P10116003,25,4,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,21
01/04/2022,P8530744,8,3,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,5
02/04/2022,P8530744,9,5,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,4
03/04/2022,P8530744,14,7,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,7
04/04/2022,P8530744,12,6,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,6
05/04/2022,P8530744,10,3,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,7
06/04/2022,P8530744,10,3,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,7
07/04/2022,P8530744,10,4,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,6
08/04/2022,P8530744,11,3,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,8
09/04/2022,P8530744,11,4,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,7
10/04/2022,P8530744,13,7,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,6
01/04/2022,P1721102,46,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,43
02/04/2022,P1721102,47,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,44
03/04/2022,P1721102,47,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,44
04/04/2022,P1721102,47,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,44
05/04/2022,P1721102,46,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,43
06/04/2022,P1721102,47,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,44
07/04/2022,P1721102,46,4,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,42
08/04/2022,P1721102,46,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,43
09/04/2022,P1721102,46,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,43
10/04/2022,P1721102,46,3,1,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,43
01/04/2022,P1712118,33,6,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,27
02/04/2022,P1712118,33,5,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,28
03/04/2022,P1712118,32,4,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,28
04/04/2022,P1712118,33,4,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,29
05/04/2022,P1712118,32,3,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,29
06/04/2022,P1712118,32,4,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,28
07/04/2022,P1712118,33,5,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,28
08/04/2022,P1712118,33,5,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,28
09/04/2022,P1712118,35,4,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,31
10/04/2022,P1712118,32,3,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,29
01/04/2022,P8183726,19,8,0,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,11
02/04/2022,P8183726,20,4,1,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,16
03/04/2022,P8183726,20,5,1,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,15
04/04/2022,P8183726,19,8,0,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,11
05/04/2022,P8183726,18,5,0,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,13
06/04/2022,P8183726,19,5,0,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,14
07/04/2022,P8183726,22,8,0,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,14
08/04/2022,P8183726,19,5,0,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,14
09/04/2022,P8183726,20,6,0,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,14
10/04/2022,P8183726,20,8,0,"FLAT 2, 9 TARVES WAY, GREENWICH, SE10 9JP",8.82E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,12
01/04/2022,P9459778,11,6,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,5
02/04/2022,P9459778,9,8,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,1
03/04/2022,P9459778,10,6,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,4
04/04/2022,P9459778,9,4,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,5
05/04/2022,P9459778,9,4,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,5
06/04/2022,P9459778,9,4,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,5
07/04/2022,P9459778,10,8,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,2
08/04/2022,P9459778,9,4,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,5
