Date ,ID,Level,Spread,Leak Status ,Address,SMS No.,DMA,Lat,Lon,A
20/04/2022,7050992,14,17,0," 7 Durnford St, Greenwich, London SE10 9BF, UK",4.47925E+13,DMA - ZRIVSE03,51.48152592,-0.009385049,-3
20/04/2022,7046257,-1,-1,0,Piper House_ Collington St_Greenwich SE10 9LU,4.47925E+13,DMA - ZRIVSE04,51.48573344,0.000538118,0
20/04/2022,7047150,38,5,1,"67 Azof Street, Greenwich, London SE10 0EG, UK",4.47925E+13,DMA - ZRIVSE04,51.48887129,0.004457496,33
20/04/2022,1720248,28,7,1," 78 Christchurch Way, Greenwich, London SE10 0AE, UK",4.47452E+13,DMA - ZRIVSE04,51.48826951,0.004495753,21
20/04/2022,1720247,20,8,0," 50 Christchurch Way, Greenwich, London SE10 0AB, UK",4.47925E+13,DMA - ZRIVSE04,51.48740723,0.004434852,12
20/04/2022,7443100,10,4,0,"51 Banning St, London SE10 0NY, UK",4.47452E+13,DMA - ZRIVSE04,51.48751148,0.002877673,6
20/04/2022,7046372,11,3,0," 21 Whitworth St, London SE10 9EQ, UK",4.47925E+13,DMA - ZRIVSE04,51.485568,0.005656173,8
20/04/2022,8430406,40,7,1," 8 Lovibond Ln, London SE10 9FY, UK",4.47452E+13,DMA - ZRIVSE03,51.4775782,-0.01663506,33
20/04/2022,7047157,-1,-1,0," 58 Christchurch Way, London SE10 0AB, UK",4.47925E+13,DMA - ZRIVSE04,51.48719207,0.004448452,0
20/04/2022,1720962,16,12,0," 84 Pelton Rd, London SE10 9PQ, UK",4.47452E+13,DMA - ZRIVSE04,51.486392,0.005904101,4
20/04/2022,1720854,11,20,0," 20 Whitworth St, London SE10 9EN, UK",4.47924E+11,DMA - ZRIVSE04,51.48546022,0.005753702,-9
20/04/2022,1710877,13,21,0," co-op Deptford Bridge, London SE8 4HH, UK",4.47924E+13,DMA - ZRIVSE03,51.47437351,-0.022023674,-8
20/04/2022,1721508,47,7,1," 210-218 Trafalgar Rd, Greenwich, London SE10 9ER, UK",4.47452E+13,DMA - ZRIVSE04,51.48550353,0.006481531,40
